Status,Droga,TimeBottom,TimeTop,AbsAngle,Freezing,Speed
CTRL,VEH,350.267,9.733,0.00681,6.630456851,0.0031
CTRL,VEH,93.234,28.64712,0.00728,17.44401114,0.00405
CTRL,VEH,205.617,0.10124,0.00974,65.85698468,0.00364
CTRL,DPAT,101.795,242.35752,14.93204,7.523871828,0.00646
CTRL,DPAT,197.955,58.61914,10.77101,66.1553921,0.0049
CTRL,DPAT,360,0,12.24785,50.52871001,0.00455
DOM,VEH,337.467,22.533,3.81117,8.209484036,5.42246
DOM,VEH,319.9,58.43,24.9569,34.27574815,4.85
DOM,DPAT,191.23,171.83,27.07,30.63348397,4.68
DOM,DPAT,258.57,98,17.76,64.15245963,7.16
DOM,DPAT,307.83,74.76,25.21,21.76654575,5.15
SUB,VEH,354.7,14.62,16.89,22.96866846,3.71
SUB,VEH,321.57,65.65,21.11,24.81620716,4.2
SUB,VEH,311.2,51.87,22.65,80.54174029,16.89
SUB,DPAT,0,307.76,7.29,80.11916862,1.57
SUB,DPAT,47.17,328.5,17.06,45.22391795,2.73
CTRL,VEH,256.167,3.833,6.76173234,71.08642386,3.980355937
CTRL,VEH,151.436,8.564367,21.11546023,26.35099577,3.932646446
CTRL,VEH,261.727,0,15.86308071,37.09776746,3.14963407
CTRL,DPAT,310.718,61.310256,17.85455103,50.92327372,6.606477727
CTRL,DPAT,276.307,105.292857,20.23215647,48.56417344,4.119784057
CTRL,DPAT,,,,4.488191149,
DOM,DPAT,57.167,320.066666,20.54388737,63.338345,4.075962719
DOM,DPAT,,,,6.684990382,
DOM,DPAT,,,,62.87586698,
DOM,VEH,309.873,57.461294,4.65899372,74.17978963,4.592819443
DOM,VEH,,,,49.21351061,
DOM,VEH,,,,78.99233267,
SUB,DPAT,270.967,1.533333,27.0966667,6.06684865,2.453399601
SUB,DPAT,0,330,7.852701455,56.01558717,1.629294733
SUB,DPAT,,,,53.60035067,
SUB,VEH,355.367,85.699999,20.26889702,38.825238,3.868065712
SUB,VEH,375.4,3.1,20.26889702,66.50192266,4.75061996
SUB,VEH,,,,66.02791433,
SUB,VEH,,,,45.39941419,
SUB,VEH,,,,63.47308445,
SUB,VEH,,,,47.8286984,
CTRL,VEH,336.833,158.466669,9.32380133,66.29365153,2.599768728
CTRL,VEH,52.518,307.01494,16.19405932,32.18281333,10.79168401
CTRL,VEH,,,,7.219982871,
CTRL,DPAT,293.837,8.6,26.29094549,68.42961097,5.235399568
CTRL,DPAT,0.2,366.566667,18.21775967,11.02049689,7.918302213
CTRL,DPAT,263,0,7.247689011,50.58294834,3.201811392
DOM,DPAT,344,0,11.83816429,68.9488915,2.750151297
DOM,DPAT,388.441,0,7.247018126,69.94770241,2.999550435
DOM,DPAT,,,,35.76428424,
DOM,VEH,61.966,287.353777,27.14766925,51.79517136,6.271272459
DOM,VEH,51.591,0,21.2079094,15.60306353,6.665038228
DOM,VEH,,,,40.58872596,
SUB,DPAT,,,,28.44473926,
SUB,DPAT,,,,35.92993903,
SUB,DPAT,,,,61.42574816,
SUB,VEH,,,,79.70225922,
SUB,VEH,,,,43.66028758,
SUB,VEH,,,,64.81047487,
CTRL,VEH,352,0,47,56.98331961,3
CTRL,VEH,346,14,29,70.70253531,5
CTRL,VEH,101,410,34,51.47933047,6
CTRL,DPAT,404,5,20,7.655872354,3
CTRL,DPAT,348,7,1,41.92931123,3
CTRL,DPAT,251,211,23,79.55972522,4
DOM,DPAT,364,144,23,43.56411686,5
DOM,DPAT,205,184,23,58.18873549,14
DOM,DPAT,,,,38.04755041,
DOM,VEH,8,366,28,23.716549,5
DOM,VEH,127,256,25,42.33709277,16
DOM,VEH,139,260,24,66.09243406,21
SUB,DPAT,355,0,11,16.19617169,10
SUB,DPAT,360,0,26,69.56534928,3
SUB,DPAT,360,0,30,24.81919424,4
SUB,VEH,360,0,26.8815453,43.77902963,5.031526493
SUB,VEH,232,128,31.8566,73.47139803,4
SUB,VEH,,,,47.71485843,
CTRL,VEH,292.867,27.366667,15.62679077,7.076433663,3.032128413
CTRL,VEH,211.678,28.593334,38,29.03163679,2.247810515
CTRL,VEH,80.926,216.459569,39.17141506,1.050136467,25.60499055
CTRL,DPAT,36.119,292.881,25.36251,47.21403991,7.592229
CTRL,DPAT,356.035,6.71228,20,27.05677282,28.593334
CTRL,DPAT,,,,1.79595405,
DOM,DPAT,,,,37.66552606,
DOM,DPAT,,,,62.06667887,
DOM,DPAT,114.333,26.43333,28.1525,14.88050164,3.520011
DOM,VEH,10.973,146.2954,25.03729,25.21584935,4.796165
DOM,VEH,292,26,15.62679077,0.7955024861,3.032128413
DOM,VEH,96,237,37.6,54.08251903,5.267368439
SUB,DPAT,,,,4.05567831,
SUB,DPAT,,,,8.159402974,
SUB,DPAT,,,,23.16173867,
SUB,VEH,,,,62.52916638,
SUB,VEH,281,83,14,29.52070328,4.775501747
SUB,VEH,345.306,40.878196,23.45335612,6.737850256,4.383916444
SUB,VEH,199.384,15.073511,10.63301359,67.08911036,4.483112423
SUB,VEH,338.867,21.132638,17.12724308,36.07030171,5.187994765
SUB,VEH,361.474,0,17.09525479,77.98136169,4.457880624
SUB,VEH,231.29,8.333323,19.49255312,30.61782169,5.447488007
SUB,DPAT,169,0,10.31038365,56.66976555,12.98362494
SUB,DPAT,296.204,23.370903,26.95888966,24.2822869,6.635756404
SUB,DPAT,295.642,0,11.79984825,42.68285723,5.332819916
SUB,DPAT,199.384,15.073511,10.188316,19.1255584,4.373497362